Advertiser App Market ID,  VX Overview Adomain,Advertiser App Title,Advertiser App Liftoff Category,Advertiser App Liftoff Subcategory,  VX Overview Unified Ad Spend
6471045672,centurygame.com,Tasty Travels: Merge Game,Gaming,Casual,37580.47279439699
1094591345,nianticlabs.com,Pokémon GO,Gaming,Casual,37460.59522675702
ca.betty.app,betty.ca,Betty Casino: Real Money Slots,Gaming,Social Casino,37326.77907775332
836215269,chimebank.com,Chime – Mobile Banking,Finance,Finance,36802.29963463727
com.ss.android.ugc.trill,tiktok.com,TikTok,Utility,Photo & Video,36174.116359999454
,google.com,,,,36126.10805937934
1230088754,capital.com,Capital.com: Trading & Finance,Finance,Finance,35982.26665564547
1087101090,experian.com,Experian®,Finance,Finance,35256.033058612986
,alibaba.com,,,,35035.02298895149
1292836438,bitso.com,Bitso: Save and invest easily,Finance,Finance,34895.75828930889
6747098015,hplconsultingltd.com,Guess Spin Arena,Gaming,Casual,34799.83230949292
1605393003,mexc.com,MEXC: Buy Bitcoin BTC & Crypto,Finance,Finance,34792.82837674611
6737067328,hardrock.bet,Hard Rock Bet: Casino,Gaming,Casual,34163.12740537157
1552206075,igg.com,Doomsday: Last Survivors,Gaming,Casual,34008.66538446979
6739352969,mistplay.com,Mistplay: Play Games Earn Cash,Entertainment,Entertainment,33164.30317582733
836215269,chime.com,Chime – Mobile Banking,Finance,Finance,32424.24651569989
id785385147,lazada.com,,,,32310.64291211684
,mjolnircode.org,,,,31889.899334017802
com.dreamgames.royalkingdom,dreamgames.com,Royal Kingdom,Gaming,Casual,31268.715403090668
,kohls.com,,,,31233.828385609704
,bonprix.de,,,,31048.902547576614
,MPO888.com,,,,30960.712101692076
1411869974,opera.com,Opera: AI browser with VPN,Utility,Other,30823.59373831517
,ajaib88ku.net,,,,30724.886610690595
com.gof.global,centurygames.com,Whiteout Survival,Gaming,Strategy,30475.126368431516
,mediaexpert.pl,,,,30386.991176785246
com.productmadness.lightninglink,productmadness.com,Lightning Link Casino Slots,Gaming,Social Casino,30241.96559170008
6739792763,goodluckstudioltd.com,Jackpot Go: Slots Casino,Gaming,Casual,30184.41508844459
6746433374,hplconsultingltd.com,Bingo Strike Mastery,Gaming,Casual,30008.66891987056
com.zzkko,nyxcosmetics.com,SHEIN-Shopping Online,e-Commerce,Shopping,30000.952327685045
com.bitso.wallet,bitso.com,Bitso: Save and invest easily,Finance,Finance,29901.144089887777
850417475,king.com,Candy Crush Soda Saga,Gaming,Casual,29559.830554073415
com.gamesys.jackpotjoy,jackpotjoy.com,Jackpotjoy Casino & Sport Bets,Gaming,Social Casino,29471.57289027786
6444946155,justplayapps.com,JustPlay: Earn Loyalty Rewards,Entertainment,Entertainment,28785.019736175942
1200391796,wooga.com,June's Journey: Wicked Mystery,Gaming,Casual,28652.01222542211
com.productmadness.cashmancasino,productmadness.com,Cashman Casino Slots Games,Gaming,Social Casino,28411.738966747092
,allegro.pl,,,,28402.453462397796
6745258320,hplconsultingltd.com,Cash Carnival - Win Real Money,Gaming,Casual,28218.916877899246
1616738407,fanaticsinc.com,Fanatics Sportsbook & Casino,Entertainment,Entertainment,27947.589602494034
com.xparty.androidapp,mico.com,Xena - Group Voice Party,Entertainment,Entertainment,27640.780268951487
1522266397,papayagaming.com,Bingo Cash,Gaming,Casual,27592.636705377332
553834731,candycrushsaga.com,Candy Crush Saga,Gaming,Casual,27479.243235213064
com.amazon.mShop.android.shopping,amazon.com,Amazon Shopping,e-Commerce,Shopping,27359.090162015316
1304885184,playdogsoft.com,Vegas Live Slots Casino,Gaming,Casual,26840.192311075363
com.activision.callofduty.shooter,activision.com,Call of Duty®: Mobile,Gaming,Strategy,26786.64377387834
404844644,otto.de,OTTO - Online Shopping & Möbel,e-Commerce,Shopping,26031.01585552696
,king.com,,,,25964.90910926523
1243005112,productmadness.com,Lightning Link Casino Slots,Gaming,Casual,25963.85347385556
com.shopee.ph,shopee.ph,Shopee PH: 12.12 Sale,e-Commerce,Shopping,25594.342211964526
6443575749,ticktackinteractive.com,Whiteout Survival,Gaming,Casual,25368.48863100928
6504332779,rollicgames.com,Color Block Jam,Gaming,Casual,25120.48673167324
1018769995,karrotmarket.com,Karrot - Buy & sell locally,Social,Social,24632.64523305298
,sinsay.com,,,,24617.554281955432
,ohuhbfefe.click,,,,24541.811664598394
395979574,mobilityware.com,Spider Solitaire: Card Game,Gaming,Casual,23864.756267157645
com.playfungame.dream,royal.dominoislandgame.com,,,,23663.611139018027
299147843,yahoo.co.jp,Yahoo! JAPAN,Education,News,23492.138604015614
com.panda.a,kj5uv2of4zt2xk4x.com,,,,23151.114102987853
485126024,doubledowninteractive.com,DoubleDown™ Casino Vegas Slots,Gaming,Casual,22885.005878085816
com.shopee.id,shopee.com,Shopee Indonesia,e-Commerce,Shopping,22603.376882111203
1376515087,camelgames.com,Age of Origins:Tower Defense,Gaming,Casual,22546.130522818734
com.king.candycrushsaga,candycrushsaga.com,Candy Crush Saga,Gaming,Casual,22157.06014040379
877638937,governorofpoker.com,Governor of Poker 3 - Holdem,Gaming,Casual,22108.81946348725
com.shopee.vn,shopee.com,12.12 Shopee Ưu Đãi Sinh Nhật,e-Commerce,Shopping,21904.628980282887
1572525917,hardrock.bet,Hard Rock Bet: Sportsbook,Entertainment,Entertainment,21801.6258250914
com.moonactive.coinmaster,moonactive.com,Coin Master,Gaming,Casual,21684.92625997608
6711353682,realplayltd.com,RealPrize Casino,Gaming,Casual,21521.167887551215
com.potradeweb,it-trendex.com,Pocket Broker,Finance,Finance,21506.10085940282
1375031369,sportsbook.draftkings.com,DraftKings Sportsbook & Casino,Entertainment,Entertainment,21410.08976111764
com.lazada.android,android.lazada.com,Lazada 12.12 Mega Sale,e-Commerce,Shopping,21388.079880563757
com.ppid7.prod2025,com.ppid7,,,,21159.446857867748
org.xbet.client1,download1xbet.com,,,,21134.671808002273
com.amazon.mShop.android.shopping,amzn.to,Amazon Shopping,e-Commerce,Shopping,20944.65166271227
6742445632,hplconsultingltd.com,Lucky Duel,Gaming,Casual,20837.43104057321
prodmex001.app_365acbdtf6.com,11029984.com,,,,20597.04613401309
1599937506,snowprintstudios.com,"Warhammer 40,000: Tacticus ™",Gaming,Casual,20577.408046276567
6747387067,hplconsultingltd.com,Obelisk: Card Commanders,Gaming,Casual,20569.893935398733
1529572983,bolegames.com,Jackpot Crush - Casino Slots,Gaming,Casual,20420.39368204228
550442071,casino.betway.com,Betway Casino Games & Slots,Gaming,Casual,20298.21345031094
com.mercadolibre,mercadolibre.com,Mercado Libre: Compras online,e-Commerce,Shopping,20020.56173501672
com.y888.bb001,mahyongways2.com:5030,,,,19848.8626637029
1447274646,web.meetcleo.com,Cleo AI: Smart Money Manager,Finance,Finance,19776.486559444314
,samsung.com,,,,19737.47131153944
com.fatmerge.global,centurygames.com,Tasty Travels: Merge Game,Gaming,Casual,19631.40377100016
com.pandora.android,pandora.com,Pandora - Music & Podcasts,Entertainment,Entertainment,19577.220552761064
com.alibaba.aliexpresshd,play.google.com,AliExpress - Shopping App,e-Commerce,Shopping,19499.307065757617
com.wulzcg.mfaakk.nllffr,jjwin.net,,,,19490.535667082164
1484442152,metacoregames.com,Merge Mansion: Mystery Puzzles,Gaming,Casual,19384.47208967482
,disney.us,,,,19351.45129318802
com.shopee.ph,shopee.com,Shopee PH: 12.12 Sale,e-Commerce,Shopping,19193.233793423286
6474687706,productmadness.com,NFL Super Bowl Slots Casino,Gaming,Casual,19100.4234905123
com.run.tower.defense,centurygame.com,Kingshot,Gaming,Strategy,18993.527899999994
880047117,rovio.com,Angry Birds 2,Gaming,Casual,18989.76910497248
1229016807,supercell.com,Brawl Stars,Gaming,Casual,18834.957050951645
com.alibaba.aliexpresshd,www.aliexpress.com,AliExpress - Shopping App,e-Commerce,Shopping,18822.992298857625
1500217666,bingbon.finance,BingX: Buy Bitcoin & Crypto,Finance,Finance,18806.955337895575
663046683,jackpocket.com,Jackpocket Lottery App,Entertainment,Entertainment,18702.549204295814
,reserved.com,,,,18651.165170804503
com.ticno.olymptrade,olymptrade.com,Olymptrade – Trading online,Finance,Finance,18362.25818886226
1138264921,candivore.io,Match Masters,Gaming,Casual,18115.39221607313
1437843273,prizepicks.com,PrizePicks - Sports Picks,Entertainment,Entertainment,18089.023800699055
,afun.bet.br,,,,17955.139966751052
com.luckyday.bingo,luckyday.com,,,,17944.75463862144
6472350114,grantcash.com,Grant Cash Advance,Finance,Finance,17925.281727592017
1287282214,activision.com,Call of Duty®: Mobile,Gaming,Casual,17911.163018148563
com.w999bd.zz02,f999-vip.top,,,,17754.593536321816
436672029,itunes.apple.com,AliExpress - Shopping App,e-Commerce,Shopping,17733.26197669994
com.ubercab.eats,uber.com,Uber Eats: Food and Grocery,e-Commerce,Food & Drink,17673.975856252717
,macys.com,,,,17595.884198145
6743212760,hplconsultingltd.com,Pub Points Platter,Gaming,Casual,17355.692412318916
284815942,google.com,Google,Utility,Other,17248.32311300005
com.game66.sms11,44vvkw.com,,,,17053.26688550009
1589643727,pocket7games.com,Solitaire Clash: Win Real Cash,Gaming,Casual,16906.96202135638
br.com.serasaexperian.consumidor,serasa.com,Serasa: Consulta CPF e Score,Finance,Finance,16878.550918433357
jp.kakao.piccoma,kakaopiccoma.com,ピッコマ-人気漫画や話題のコミックが毎日読めるマンガアプリ,Entertainment,Entertainment,16875.765705898582
1673567402,freecash.com,Freecash - Get Paid Real Money,Entertainment,Lifestyle,16600.51112288821
com.spinthebottle.game,webninjasolutions.com,,,,16475.511884000014
,magnit.ru,,,,16407.537690398738
com.potradeweb.aitrading,it-trendex.com,Pocket AI,Finance,Finance,16407.069295837104
1523280942,betboom.ru,BetBoom - ставки на спорт,Entertainment,Entertainment,16386.10045104234
6737852275,fanatics.com,Fanatics Casino - Real Money,Gaming,Casual,16294.568139069772
com.neptune.domino,higgsgames.com,Higgs Games Island,Gaming,Casual,16186.915032802846
,q5rqm3.com,,,,16182.216485498304
6503272652,floreregame.com,Last Z: Survival Shooter,Gaming,Casual,16170.157511999978
,lego.com,,,,16100.836763416099
711923939,squareup.com,Cash App,Finance,Finance,15990.80254783617
1154436683,goldapple.ru,Gold Apple: beauty store,e-Commerce,Shopping,15920.652066523482
com.hexa.master.puzzle.match3d,higgsgamestudio.com,Hexa Master 3D - Color Sort,Gaming,Casual,15880.913121005016
trendyol.com,trendyol.com,Trendyol - Online Alışveriş,e-Commerce,Shopping,15857.72201456207
com.coppel.coppelapp,coppel.com,Coppel: compras en línea,Finance,Finance,15695.99737807918
739699649,funstage.com,Slotpark Casino Slots Online,Gaming,Casual,15647.202418421472
,calorie-diet.com,,,,15542.88597260626
1589643727,aviagames.com,Solitaire Clash: Win Real Cash,Gaming,Casual,15429.22189765418
com.rovio.baba,rovio.com,Angry Birds 2,Gaming,Casual,15395.795627510695
,mercadolivre.com.br,,,,15226.413530238617
850417475,candycrushsodasaga.com,Candy Crush Soda Saga,Gaming,Casual,15168.947468707322
6739616715,nexon.com,MapleStory : Idle RPG,Gaming,Casual,15117.408419820938
,creditkarma.com,,,,15045.591274613314
com.luckyday.solitaire,luckyday.com,,,,15012.592200501966
6751319735,starfishfun.com,Bingo Rock,Gaming,Casual,14937.557656630604
1666653815,max.com,HBO Max: Stream Movies & TV,Entertainment,Entertainment,14930.356386889305
net.wooga.junes_journey_hidden_object_mystery_game,wooga.com,June's Journey: Wicked Mystery,Gaming,Strategy,14913.457394199264
,traveloka.com,,,,14763.117023908582
com.king.candycrushsodasaga,candycrushsodasaga.com,Candy Crush Soda Saga,Gaming,Casual,14708.06100894318
co.mona.android,crypto.com,"Crypto.com: Buy BTC, ETH & CRO",Finance,Finance,14554.249365318883
,paradisecasino.co.kr,,,,14422.61351072823
com.ss.android.ugc.trill,trill.ugc.android.ss.com,TikTok,Utility,Photo & Video,14405.331297566276
,sunnyrelief.top,,,,14366.212626984114
com.zzkko,com.zzkko,SHEIN-Shopping Online,e-Commerce,Shopping,14352.267297008313
553663691,99app.com,"99: Rides, Food, Pay",Travel,Travel,14308.773079391363
com.shopee.vn,shopee.vn,12.12 Shopee Ưu Đãi Sinh Nhật,e-Commerce,Shopping,14282.834667612153
1176027022,peakgames.net,Toon Blast,Gaming,Casual,14280.20555300729
1598551382,aligota.com,TopLive - Live Video Chat App,Social,Social,14267.106426027874
com.opera.minipay,opera.com,MiniPay - Dollar Wallet,Finance,Finance,14221.546377497103
,aliexpress.com,,,,14200.695666054982
885372509,goeuro.com,"Omio: Book Train, Bus & Flight",Travel,Travel,14174.087668562765
1408914447,gemini.com,Gemini Exchange & Credit Card,Finance,Finance,14145.902764956056
1196764367,zynga.com,Words With Friends Word Game,Gaming,Casual,14109.739603948594
1064677082,moneylion.com,MoneyLion: Banking & Cash Back,Finance,Finance,14109.156201723341
com.pakaviator006.Nov,cloudfront.net,,,,14028.376814479558
950876153,caliente.mx,Caliente Deportes,Entertainment,Entertainment,13995.649063551813
com.nu.production,nubank.com.br,Nu,Finance,Finance,13918.113975298016
6448786147,lastwar.com,Last War:Survival,Gaming,Casual,13866.02773400109
,revlon.com,,,,13857.432954778536
com.shopee.th,shopee.com,Shopee 12.12 Birthday Campaign,e-Commerce,Shopping,13680.971774328356
814517475,cargurus.com,CarGurus: Used & New Cars,e-Commerce,Shopping,13658.060038637497
1344700142,letsplayuno.com,UNO!™,Gaming,Casual,13646.662697072534
,linkbpjs777.com,,,,13622.564510404318
1311478292,productmadness.com,Mighty Fu Casino: Slots Game,Gaming,Casual,13539.111395807224
com.miswtcg.xrghl2525.tlmfzsy,pkrbet0.com,,,,13405.91057458305
,microsoft.com,,,,13194.045302464789
,google.ggss333.com,,,,13186.450917580649
288429040,linkedin.com,LinkedIn: Network & Job Finder,Finance,Business,13186.06337000002
1622648505,slotscity.ua,Slots City: №1 Казино та слоти,Gaming,Casual,13147.99293991711
,s.click.aliexpress.com,,,,13126.843668823269
406889139,moonactive.com,Coin Master,Gaming,Casual,13112.832511637971
,sb.ecnokamisama.com,,,,13085.683209248084
1475514684,papayagaming.com,Bubble Cash,Gaming,Casual,12996.999991549425
ru.bkfon-Android,fon.bet,,,,12970.021753873774
1371565796,plarium.com,RAID: Shadow Legends,Gaming,Casual,12952.221202632796
com.huuuge.casino.slots,huuugegames.com,Huuuge Casino 777 Slots Games,Gaming,Social Casino,12931.5656003103
768106105,caliente.com,Caliente Casino,Gaming,Casual,12880.155422240061
6471232743,9snail.com,Solitaire Master: Win Cash,Gaming,Casual,12863.638338699986
,lazada.com.ph,,,,12821.235942825468
com.readygo.barrel.gp,floreregame.com,Last Z: Survival Shooter,Gaming,Strategy,12814.900835009616
1635337354,olleyo.com,Piggy Kingdom - Match 3 Games,Gaming,Casual,12810.08974712521
,teegschwendner.de,,,,12610.447524840025
com.mistplay.mistplay,mistplay.com,MISTPLAY: Play to Earn Money,Entertainment,Entertainment,12596.872730685394
1540625368,aligosta.com,Lowins - Live Video Chat,Social,Social,12506.042888684118
1636235979,com.newleaf,ReelShort - Stream Drama & TV,Entertainment,Entertainment,12499.256098243626
com.royalplay.speedx8,higgs.dominoislandgame.com,,,,12364.500528835402
419267350,ichiba.rakuten.co.jp,楽天市場 - お買い物で楽天ポイントが貯まる便利な通販アプリ,e-Commerce,Shopping,12313.38451895144
com.dhgate.buyermob,dhgate.com,DHgate-online wholesale stores,e-Commerce,Shopping,12249.198353224809
6751545016,spark.net,Block Match Cash,Gaming,Casual,12225.49991111637
com.gof.global,centurygame.com,Whiteout Survival,Gaming,Strategy,12187.392021135154
1053012308,help.supercellsupport.com,Clash Royale,Gaming,Casual,12180.862545481521
air.com.buffalo_studios.newflashbingo,playtika.com,Bingo Blitz™️ - Bingo Games,Gaming,Casual,12118.264541897104
1166619854,fonbet.ru,Фонбет – ставки на спорт,Entertainment,Entertainment,12106.294137885247
,xanhsm.com,,,,12031.380242682137
,jcpenney.com,,,,12021.444476094759
temu.com,temu.com,,,,11996.503473717841
1098157959,topgamesinc.com,Evony,Gaming,Casual,11989.02940301182
,raspesorte.io,,,,11919.371338861763
,lifeextension.com,,,,11917.930174568522
,lamoda.ru,,,,11911.419345348248
336381998,priceline.com,"Priceline - Hotel, Car, Flight",Travel,Travel,11908.689265796129
com.ea.gp.fifamobile,ea.com,EA SPORTS FC™ Mobile Soccer,Entertainment,Entertainment,11880.504057241787
,shopping.mattel.com,,,,11877.947432918358
6744304405,6744304405,Cider Casino,Gaming,Casual,11855.998189999978
6741880336,hyperconnect.com,"Cheero: Chat, Meet, Connect",Social,Social,11738.286605727208
1521236603,magmatic.games,Travel Town - Merge Adventure,Gaming,Casual,11725.897168568028
com.vitastudio.mahjong,vitastudio.ai,Vita Mahjong,Gaming,Casual,11714.455061349385
com.lazada.android,www.lazada.com.ph,Lazada 12.12 Mega Sale,e-Commerce,Shopping,11633.874689741111
,diet-tomorrow.com,,,,11538.163549203913
com.didiglobal.driver,didiglobal.com,DiDi Driver: Drive & Earn Cash,Finance,Business,11487.142348089796
,www.889hjaae11.cc,,,,11480.012815469081
6578452660,sportzino.com,Sportzino: Casino & Sportsbook,Gaming,Casual,11468.321193095184
,amazon.ca,,,,11430.386931423967
608206510,king.com,Farm Heroes Saga,Gaming,Casual,11390.608114209219
,abnehmen.deoogouso.com,,,,11389.059853605073
1404165333,bolegames.com,Cash Frenzy™ - Slots Casino,Gaming,Casual,11372.09745399106
1476370680,www2.mouse-games.com,Solitaire - Card Solitaire,Gaming,Casual,11365.588906122282
538775096,betway.com,Betway Sports Betting – Live,Entertainment,Entertainment,11356.61651523042
6478530492,bingo-royal.net,Bingo Wealth,Gaming,Casual,11348.479019030627
com.alibaba.aliexpresshd,s.click.aliexpress.com,AliExpress - Shopping App,e-Commerce,Shopping,11312.343542600738
1497647778,withyotta.com,Yotta: Play and Win.,Gaming,Casual,11312.31986332243
,hepsiburada.com,,,,11304.511814494505
com.funplus.ts.global,funplus.com,Tiles Survive!,Gaming,Strategy,11278.032451318499
,dhgate.com,,,,11224.023819686605
1401500803,samokat.ru,Самокат: заказ и доставка еды,e-Commerce,Food & Drink,11205.872181429717
570198108,32red.com,32Red Casino & Slots,Gaming,Casual,11173.540851638905
,0rsweu.com,,,,11156.496803844948
,shopee.com.my,,,,11096.071171293768
1487882541,mobilityware.com,Spades Classic Card Game,Gaming,Casual,11072.293583916253
6752648562,9snail.com,Bingo Toys,Gaming,Casual,11066.003013909973
,hellosunny.shop,,,,11032.213169235849
1552179961,my.octafx.com,Octa trading app,Finance,Finance,10979.633100337267
com.zzkko,zzkko.com,SHEIN-Shopping Online,e-Commerce,Shopping,10925.273146036398
1256307081,mobeegaming.com,Ignite Classic Slots-Casino,Gaming,Casual,10914.7752293129
1504038308,sportybet.com,SportyBet - Sports Betting,Entertainment,Entertainment,10899.262414020865
1498407272,boo.world,Boo — Dating. Friends. Chat.,Social,Social,10894.313962024013
357852748,mytaxi.com,Freenow by Lyft - taxi & more,Travel,Travel,10823.261872295176
com.callapp.contacts,callapp.com,CallApp: Caller ID & Block,Social,Social,10753.988327096911
6444946155,gimica.com,JustPlay: Earn Loyalty Rewards,Entertainment,Entertainment,10616.871419765952
com.new789bni414.app,789bniapk.com,,,,10616.304365155887
com.shopee.br,shopee.com,Shopee: 12.12 Liquida de Natal,e-Commerce,Shopping,10603.05554223628
1668656321,luckios.com,Jackpot Friends™-Slots Casino,Gaming,Casual,10599.433977289988
